;CA AGEN;;;CA BASTIA;;;CA LIMOGES;;;CA ORLEANS;;;CA PARIS;;;CA PARIS;;;CA VERSAILLES;;;AC
11;TJ GRASSE;;;CA CAEN;;;CA METZ;;;CA PARIS;;;TJ BOBIGNY;;;TJ CHATELLERAULT;;;TJ NANTERRE;;;DSJ/SDRHG/RHG1 – gestionnaire
12;TJ MARSEILLE;;;SAR CAEN AMBASSADEUR;;;SAR METZ GP;;;CA PARIS;;;TJ BOBIGNY;;;TJ NIORT;;;TJ NANTERRE;;;DSJ/SDRHG/RHG1 – gestionnaire
13;TJ MARSEILLE;;;TJ ALENCON;;;TJ METZ;;;CA PARIS;;;TJ BOBIGNY;;;TJ POITIERS;;;TJ NANTERRE;;;DSJ/SDRHG/RHG1 – gestionnaire
14;TJ MARSEILLE;;;TJ ALENCON;;;TJ METZ;;;CA PARIS;;;TJ BOBIGNY;;;TJ POITIERS;;;TJ NANTERRE;;;DSJ/SDRHG/RHG1 – gestionnaire
15;TJ MARSEILLE;;;TJ CAEN;;;TJ METZ;;;CA PARIS;;;TJ BOBIGNY;;;;;;TJ NANTERRE;;;
16;TJ MARSEILLE;;;;;;TJ METZ;;;CA PARIS;;;TJ BOBIGNY;;;CA REIMS;;;TJ NANTERRE;;;
17;TJ MARSEILLE;;;CA CAYENNE;;;TJ METZ;;;CA PARIS;;;TJ BOBIGNY;;;SAR REIMS GP;;;TJ NANTERRE;;;
18;TJ MARSEILLE;;;TPR SAINT LAURENT DU MARONI;;;TJ METZ;;;CA PARIS;;;TJ BOBIGNY;;;SAR REIMS AMBASSADEUR;;;TJ NANTERRE;;;
19;TJ MARSEILLE;;;TPR SAINT LAURENT DU MARONI;;;TJ THIONVILLE;;;CA PARIS;;;TJ BOBIGNY;;;TJ CHARLEVILLE MEZIERES;;;TJ NANTERRE;;;
20;TJ MARSEILLE;;;;;;TJ THIONVILLE;;;CA PARIS;;;TJ BOBIGNY;;;TJ CHARLEVILLE MEZIERES;;;TJ NANTERRE;;;
21;TJ NICE;;;CA CHAMBERY;;;;;;SAR PARIS GP;;;TJ BOBIGNY;;;TJ TROYES;;;TJ NANTERRE;;;
22;TJ NICE;;;TJ CHAMBERY;;;CA MONTPELLIER;;;SAR PARIS GP;;;TJ BOBIGNY;;;TJ TROYES;;;TPR BOULOGNE BILLANCOURT;;;
23;TJ NICE;;;TJ THONON LES BAINS;;;TJ BEZIERS;;;SAR PARIS RGIA;;;TJ BOBIGNY;;;;;;TPR PUTEAUX;;;
24;TJ TOULON;;;;;;TJ BEZIERS;;;SAR PARIS RGIA;;;TJ BOBIGNY;;;CA RIOM;;;TJ PONTOISE;;;
;;;;CA COLMAR;;;TJ RODEZ;;;GTJ PARIS;;;TJ BOBIGNY;;;TJ CLERMONT FERRAND;;;TJ PONTOISE;;;
;CA AMIENS;;;TJ MULHOUSE;;;TJ RODEZ;;;GTJ PARIS;;;TJ BOBIGNY;;;TJ MOULINS;;;TJ PONTOISE;;;
;SAR AMIENS GP;;;TJ MULHOUSE;;;TPR MILLAU;;;GTJ PARIS;;;TJ BOBIGNY;;;TJ MOULINS;;;TJ PONTOISE;;;
;SAR AMIENS GP;;;TJ SAVERNE;;;;;;GTJ PARIS;;;TJ BOBIGNY;;;;;;TJ PONTOISE;;;
;SAR AMIENS AMBASSADEUR;;;;;;CA NANCY;;;GTJ PARIS;;;TJ BOBIGNY;;;CA ROUEN;;;TJ PONTOISE;;;
;TJ AMIENS;;;CA DIJON;;;SAR NANCY GP;;;GTJ PARIS;;;TJ BOBIGNY;;;SAR ROUEN AMBASSADEUR;;;TJ PONTOISE;;;
;TJ AMIENS;;;TJ CHAUMONT;;;SAR NANCY GP;;;GTJ PARIS;;;TJ BOBIGNY;;;TJ EVREUX;;;TJ PONTOISE;;;
;TJ AMIENS;;;TJ CHAUMONT;;;SAR NANCY GP;;;GTJ PARIS;;;TPR AUBERVILLIERS;;;TJ EVREUX;;;TJ PONTOISE;;;
;TJ BEAUVAIS;;;TPR SAINT DIZIER;;;SAR NANCY AMBASSADEUR;;;GTJ PARIS;;;TPR PANTIN;;;TJ EVREUX;;;TJ PONTOISE;;;
;TJ BEAUVAIS;;;;;;TJ BAR LE DUC;;;GTJ PARIS;;;TPR LE RAINCY;;;TPR BERNAY;;;TPR GONESSE;;;
;TJ COMPIEGNE;;;CA DOUAI;;;TJ EPINAL;;;GTJ PARIS;;;TJ CRETEIL;;;TJ LE HAVRE;;;TJ VERSAILLES;;;
;TJ COMPIEGNE;;;SAR DOUAI AMBASSADEUR;;;TJ EPINAL;;;GTJ PARIS;;;TJ CRETEIL;;;TJ LE HAVRE;;;TJ VERSAILLES;;;
;TJ LAON;;;SAR DOUAI AMBASSADEUR;;;TJ VERDUN;;;GTJ PARIS;;;TJ CRETEIL;;;TJ ROUEN;;;TJ VERSAILLES;;;
;TJ SENLIS;;;CA DOUAI;;;TJ VERDUN;;;GTJ PARIS;;;TJ CRETEIL;;;TJ ROUEN;;;TJ VERSAILLES;;;
;TJ SENLIS;;;TJ BETHUNE;;;;;;GTJ PARIS;;;TJ CRETEIL;;;TJ ROUEN;;;TJ VERSAILLES;;;
;TJ SENLIS;;;TJ LILLE;;;CA NIMES;;;GTJ PARIS;;;TJ CRETEIL;;;TJ ROUEN;;;TJ VERSAILLES;;;
;TJ SENLIS;;;TJ LILLE;;;TJ CARPENTRAS;;;GTJ PARIS;;;TJ CRETEIL;;;TJ ROUEN;;;TJ VERSAILLES;;;
;TJ SENLIS;;;TJ LILLE;;;TJ MENDE;;;GTJ PARIS;;;TJ CRETEIL;;;TJ ROUEN;;;TJ VERSAILLES;;;
;CPH CREIL;;;TJ LILLE;;;TJ NIMES;;;GTJ PARIS;;;TJ CRETEIL;;;;;;TPR SAINT GERMAIN EN LAYE;;;
;;;;TJ VALENCIENNES;;;;;;GTJ PARIS;;;TJ CRETEIL;;;CA SAINT DENIS DE LA REUNION;;;;;;
;CA ANGERS;;;;;;;;;PTJ PARIS;;;TJ CRETEIL;;;TJ MAMOUDZOU;;;;;;
;SAR ANGERS GP;;;CA GRENOBLE;;;;;;PTJ PARIS;;;TPR SUCY EN BRIE;;;TJ MAMOUDZOU;;;;;;
;TJ ANGERS;;;SAR GRENOBLE GP;;;;;;PTJ PARIS;;;TJ EVRY;;;;;;;;;
;TJ LAVAL;;;SAR GRENOBLE AMBASSADEUR;;;;;;PTJ PARIS;;;TJ EVRY;;;CA TOULOUSE;;;;;;
;TJ LAVAL;;;TJ GRENOBLE;;;;;;PTJ PARIS;;;TJ EVRY;;;TJ FOIX;;;;;;
;TJ LAVAL;;;TJ GRENOBLE;;;;;;PTJ PARIS;;;TJ EVRY;;;TJ SAINT GAUDENS;;;;;;
;TJ LE MANS;;;TJ GRENOBLE;;;;;;;;;TJ EVRY;;;;;;;;;
;TJ LE MANS;;;;;;;;;;;;TJ EVRY;;;;;;;;;
;TJ SAUMUR;;;;;;;;;;;;;;;;;;;;;
